RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
Up Node,39,75,75,75,106,106,106,73,73,73,74,74,74,,
Dest Node,39,73,106,74,74,75,73,106,74,75,75,73,106,,
Lanes,39,1,2,0,1,2,0,1,1,0,1,1,0,,
Shared,39,0,2,,0,2,,0,2,,0,2,,,
Width,39,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,39,,,,,,,,,,,,,,
Taper,39,,,,,,,,,,,,,,
StLanes,39,,,,,,,,,,,,,,
Grade,39,,,,,,,,,,,,,,
Speed,39,,45,,,45,,,45,,,45,,,
Phase1,39,5,2,,1,6,,3,8,,7,4,,,
LostTime,39,6,5.3,4,6,5.3,4,6,5.1,4,5.9,5.9,4,,
Lost Time Adjust,39,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,39,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
SatFlowPerm,39,1770,3518,0,1770,3532,0,1770,1712,0,1770,1669,0,,
Allow RTOR,39,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,39,0,5,0,0,2,0,0,77,0,0,147,0,,
Volume,39,181,7732,300,214,4961,58,182,122,143,580,140,315,,
Peds,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,39,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,39,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,39,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,39,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,39,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,39,,0,,,0,,,0,,,0,,,
Distance,39,,2985,,,99,,,218,,,282,,,
TravelTime,39,,45.2,,,1.5,,,3.3,,,4.3,,,
Right Channeled,39,,,0,,,0,,,0,,,0,,
Alignment,39,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,39,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,39,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,39,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,39,20,100,,20,100,,20,100,,20,100,,,
LastDetect,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,39,5,2,,1,6,,3,8,,7,4,,,
DetectPhase2,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,39,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,39,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,39,0,0,,0,0,,0,0,,0,0,,,
numDetects,39,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,39,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,39,20,6,,20,6,,20,6,,20,6,,,
DetectType1,39,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,39,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,39,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,39,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,39,,94,,,94,,,94,,,94,,,
DetectSize2,39,,6,,,6,,,6,,,6,,,
DetectType2,39,,3,,,3,,,3,,,3,,,
DetectExtend2,39,,0,,,0,,,0,,,0,,,
Exit Lanes,39,,0,,,0,,,0,,,0,,,
CBD,39,,0,,,,,,,,,,,,
Lane Group Flow,39,197,8730,0,233,5455,0,198,288,0,630,494,0,,
Up Node,75,78,78,78,39,39,39,76,76,76,77,77,77,,
Dest Node,75,76,39,77,77,78,76,39,77,78,78,76,39,,
Lanes,75,1,2,0,1,2,0,1,1,0,1,1,0,,
Shared,75,0,2,,0,2,,0,2,,0,2,,,
Width,75,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,75,,,,,,,,,,,,,,
Taper,75,,,,,,,,,,,,,,
StLanes,75,,,,,,,,,,,,,,
Grade,75,,,,,,,,,,,,,,
Speed,75,,45,,,45,,,45,,,45,,,
Phase1,75,5,2,,1,6,,3,8,,7,4,,,
LostTime,75,4,5.3,4,4,5.4,4,4,5.8,4,4,5.9,4,,
Lost Time Adjust,75,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,75,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,75,1770,3522,0,1770,3536,0,1770,1690,0,1770,1723,0,,
SatFlowPerm,75,1770,3522,0,1770,3536,0,1770,1690,0,1770,1723,0,,
Allow RTOR,75,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,75,0,5,0,0,0,0,0,33,0,0,15,0,,
Volume,75,67,649,22,41,541,2,5,18,30,17,14,14,,
Peds,75,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,75,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,75,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,75,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,75,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,75,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,75,,0,,,0,,,0,,,0,,,
Distance,75,,2307,,,2985,,,182,,,210,,,
TravelTime,75,,35.0,,,45.2,,,2.8,,,3.2,,,
Right Channeled,75,,,0,,,0,,,0,,,0,,
Alignment,75,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,75,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,75,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,75,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,75,20,100,,20,100,,20,100,,20,100,,,
LastDetect,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,75,5,2,,1,6,,3,8,,7,4,,,
DetectPhase2,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,75,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,75,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,75,0,0,,0,0,,0,0,,0,0,,,
numDetects,75,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,75,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,75,20,6,,20,6,,20,6,,20,6,,,
DetectType1,75,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,75,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,75,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,75,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,75,,94,,,94,,,94,,,94,,,
DetectSize2,75,,6,,,6,,,6,,,6,,,
DetectType2,75,,3,,,3,,,3,,,3,,,
DetectExtend2,75,,0,,,0,,,0,,,0,,,
Exit Lanes,75,,0,,,0,,,0,,,0,,,
CBD,75,,0,,,,,,,,,,,,
Lane Group Flow,75,73,729,0,45,590,0,5,53,0,18,30,0,,
Up Node,78,,80,80,75,75,,,,,79,,79,,
Dest Node,78,,75,79,79,80,,,,,80,,75,,
Lanes,78,,3,0,1,2,,,,,2,,0,,
Shared,78,,2,,0,0,,,,,2,,,,
Width,78,,12,12,12,12,,,,,12,,12,,
Storage,78,,,,,,,,,,,,,,
Taper,78,,,,,,,,,,,,,,
StLanes,78,,,,,,,,,,,,,,
Grade,78,,,,,,,,,,,,,,
Speed,78,,45,,,45,,,,,45,,,,
Phase1,78,,2,,1,6,,,,,4,,,,
PermPhase1,78,,,,,,,,,,8,,,,
LostTime,78,,5.3,4,4,5.3,,,,,5.3,,4,,
Lost Time Adjust,78,,0,0,0,0,,,,,0,,0,,
IdealFlow,78,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,78,,5055,0,1770,3539,,,,,3204,,0,,
SatFlowPerm,78,,5055,0,1770,3539,,,,,3204,,0,,
Allow RTOR,78,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,78,,11,0,0,0,,,,,190,,0,,
Volume,78,,1536,61,79,1175,,,,,93,,175,,
Peds,78,,0,0,0,0,,,,,0,,0,,
Bicycles,78,,0,0,0,0,,,,,0,,0,,
PHF,78,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,78,,100,100,100,100,,,,,100,,100,,
HeavyVehicles,78,,2,2,2,2,,,,,2,,2,,
BusStops,78,,0,0,0,0,,,,,0,,0,,
Midblock,78,,0,,,0,,,,,0,,,,
Distance,78,,2660,,,2307,,,,,248,,,,
TravelTime,78,,40.3,,,35.0,,,,,3.8,,,,
Right Channeled,78,,,0,,0,,,,,,,0,,
Alignment,78,,0,1,0,0,,,,,0,,1,,
Enter Blocked,78,,0,0,0,0,,,,,0,,0,,
HeadwayFact,78,,1.00,1.00,1.00,1.00,,,,,1.00,,1.00,,
Turning Speed,78,,60,9,15,60,,,,,15,,9,,
FirstDetect,78,,100,,20,100,,,,,20,,,,
LastDetect,78,,0,,0,0,,,,,0,,,,
DetectPhase1,78,,2,,1,6,,,,,4,,,,
DetectPhase2,78,,0,,0,0,,,,,0,,,,
DetectPhase3,78,,0,,0,0,,,,,0,,,,
DetectPhase4,78,,0,,0,0,,,,,0,,,,
SwitchPhase,78,,0,,0,0,,,,,0,,,,
numDetects,78,,2,,1,2,,,,,1,,,,
DetectPos1,78,,0,,0,0,,,,,0,,,,
DetectSize1,78,,6,,20,6,,,,,20,,,,
DetectType1,78,,3,,3,3,,,,,3,,,,
DetectExtend1,78,,0,,0,0,,,,,0,,,,
DetectQueue1,78,,0,,0,0,,,,,0,,,,
DetectDelay1,78,,0,,0,0,,,,,0,,,,
DetectPos2,78,,94,,,94,,,,,,,,,
DetectSize2,78,,6,,,6,,,,,,,,,
DetectType2,78,,3,,,3,,,,,,,,,
DetectExtend2,78,,0,,,0,,,,,,,,,
Exit Lanes,78,,0,,,0,,,,,0,,,,
CBD,78,,0,,,,,,,,,,,,
Lane Group Flow,78,,1736,0,86,1277,,,,,291,,0,,
Up Node,80,,82,82,78,78,,,,,81,,81,,
Dest Node,80,,78,81,81,82,,,,,82,,78,,
Lanes,80,,2,0,1,2,,,,,1,,0,,
Shared,80,,2,,0,0,,,,,2,,,,
Width,80,,12,12,12,12,,,,,12,,12,,
Storage,80,,,,,,,,,,,,,,
Taper,80,,,,,,,,,,,,,,
StLanes,80,,,,,,,,,,,,,,
Grade,80,,,,,,,,,,,,,,
Speed,80,,45,,,45,,,,,45,,,,
Phase1,80,,2,,,6,,,,,8,,,,
PermPhase1,80,,,,6,,,,,,,,,,
LostTime,80,,4.5,4,4.5,4.5,,,,,4.5,,4,,
Lost Time Adjust,80,,0,0,0,0,,,,,0,,0,,
IdealFlow,80,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,80,,3518,0,1770,3539,,,,,1668,,0,,
SatFlowPerm,80,,3518,0,414,3539,,,,,1668,,0,,
Allow RTOR,80,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,80,,10,0,0,0,,,,,21,,0,,
Volume,80,,1063,42,48,712,,,,,27,,52,,
Peds,80,,0,0,0,0,,,,,0,,0,,
Bicycles,80,,0,0,0,0,,,,,0,,0,,
PHF,80,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,80,,100,100,100,100,,,,,100,,100,,
HeavyVehicles,80,,2,2,2,2,,,,,2,,2,,
BusStops,80,,0,0,0,0,,,,,0,,0,,
Midblock,80,,0,,,0,,,,,0,,,,
Distance,80,,2660,,,2660,,,,,284,,,,
TravelTime,80,,40.3,,,40.3,,,,,4.3,,,,
Right Channeled,80,,,0,,0,,,,,,,0,,
Alignment,80,,0,1,0,0,,,,,0,,1,,
Enter Blocked,80,,0,0,0,0,,,,,0,,0,,
HeadwayFact,80,,1.00,1.00,1.00,1.00,,,,,1.00,,1.00,,
Turning Speed,80,,60,9,15,60,,,,,15,,9,,
FirstDetect,80,,100,,20,100,,,,,20,,,,
LastDetect,80,,0,,0,0,,,,,0,,,,
DetectPhase1,80,,2,,6,6,,,,,8,,,,
DetectPhase2,80,,0,,0,0,,,,,0,,,,
DetectPhase3,80,,0,,0,0,,,,,0,,,,
DetectPhase4,80,,0,,0,0,,,,,0,,,,
SwitchPhase,80,,0,,0,0,,,,,0,,,,
numDetects,80,,2,,1,2,,,,,1,,,,
DetectPos1,80,,0,,0,0,,,,,0,,,,
DetectSize1,80,,6,,20,6,,,,,20,,,,
DetectType1,80,,3,,3,3,,,,,3,,,,
DetectExtend1,80,,0,,0,0,,,,,0,,,,
DetectQueue1,80,,0,,0,0,,,,,0,,,,
DetectDelay1,80,,0,,0,0,,,,,0,,,,
DetectPos2,80,,94,,,94,,,,,,,,,
DetectSize2,80,,6,,,6,,,,,,,,,
DetectType2,80,,3,,,3,,,,,,,,,
DetectExtend2,80,,0,,,0,,,,,,,,,
Exit Lanes,80,,0,,,0,,,,,0,,,,
CBD,80,,0,,,,,,,,,,,,
Lane Group Flow,80,,1201,0,52,774,,,,,86,,0,,
Up Node,82,,84,84,80,80,,,,,83,,83,,
Dest Node,82,,80,83,83,84,,,,,84,,80,,
Lanes,82,,2,0,1,2,,,,,1,,0,,
Shared,82,,2,,0,0,,,,,2,,,,
Width,82,,12,12,12,12,,,,,12,,12,,
Storage,82,,,,,,,,,,,,,,
Taper,82,,,,,,,,,,,,,,
StLanes,82,,,,,,,,,,,,,,
Grade,82,,,,,,,,,,,,,,
Speed,82,,45,,,45,,,,,45,,,,
Phase1,82,,2,,1,6,,,,,4,,,,
LostTime,82,,5.3,4,4,5.3,,,,,5.2,,4,,
Lost Time Adjust,82,,0,0,0,0,,,,,0,,0,,
IdealFlow,82,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,82,,3518,0,1770,3539,,,,,1670,,0,,
SatFlowPerm,82,,3518,0,1770,3539,,,,,1670,,0,,
Allow RTOR,82,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,82,,5,0,0,0,,,,,97,,0,,
Volume,82,,1402,56,72,1074,,,,,102,,193,,
Peds,82,,0,0,0,0,,,,,0,,0,,
Bicycles,82,,0,0,0,0,,,,,0,,0,,
PHF,82,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,82,,100,100,100,100,,,,,100,,100,,
HeavyVehicles,82,,2,2,2,2,,,,,2,,2,,
BusStops,82,,0,0,0,0,,,,,0,,0,,
Midblock,82,,0,,,0,,,,,0,,,,
Distance,82,,5296,,,2660,,,,,377,,,,
TravelTime,82,,80.2,,,40.3,,,,,5.7,,,,
Right Channeled,82,,,0,,0,,,,,,,0,,
Alignment,82,,0,1,0,0,,,,,0,,1,,
Enter Blocked,82,,0,0,0,0,,,,,0,,0,,
HeadwayFact,82,,1.00,1.00,1.00,1.00,,,,,1.00,,1.00,,
Turning Speed,82,,60,9,15,60,,,,,15,,9,,
FirstDetect,82,,100,,20,100,,,,,20,,,,
LastDetect,82,,0,,0,0,,,,,0,,,,
DetectPhase1,82,,2,,1,6,,,,,4,,,,
DetectPhase2,82,,0,,0,0,,,,,0,,,,
DetectPhase3,82,,0,,0,0,,,,,0,,,,
DetectPhase4,82,,0,,0,0,,,,,0,,,,
SwitchPhase,82,,0,,0,0,,,,,0,,,,
numDetects,82,,2,,1,2,,,,,1,,,,
DetectPos1,82,,0,,0,0,,,,,0,,,,
DetectSize1,82,,6,,20,6,,,,,20,,,,
DetectType1,82,,3,,3,3,,,,,3,,,,
DetectExtend1,82,,0,,0,0,,,,,0,,,,
DetectQueue1,82,,0,,0,0,,,,,0,,,,
DetectDelay1,82,,0,,0,0,,,,,0,,,,
DetectPos2,82,,94,,,94,,,,,,,,,
DetectSize2,82,,6,,,6,,,,,,,,,
DetectType2,82,,3,,,3,,,,,,,,,
DetectExtend2,82,,0,,,0,,,,,,,,,
Exit Lanes,82,,0,,,0,,,,,0,,,,
CBD,82,,0,,,,,,,,,,,,
Lane Group Flow,82,,1585,0,78,1167,,,,,321,,0,,
Up Node,84,98,98,98,82,82,82,85,85,85,86,86,86,,
Dest Node,84,85,82,86,86,98,85,82,86,98,98,85,82,,
Lanes,84,1,3,0,1,3,0,0,3,0,0,2,0,,
Shared,84,0,2,,0,2,,0,3,,0,1,,,
Width,84,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,84,,,,,,,,,,,,,,
Taper,84,,,,,,,,,,,,,,
StLanes,84,,,,,,,,,,,,,,
Grade,84,,,,,,,,,,,,,,
Speed,84,,45,,,45,,,45,,,45,,,
Phase1,84,5,2,,1,6,,,8,,,4,,,
PermPhase1,84,,,,,,,8,,,4,,,,
LostTime,84,4,6,4,4,6,4,5.9,5.9,4,5.9,5.9,4,,
Lost Time Adjust,84,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,84,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,84,1770,5055,0,1770,5075,0,0,4739,0,0,3285,0,,
SatFlowPerm,84,1770,5055,0,1770,5075,0,0,4189,0,0,2752,0,,
Allow RTOR,84,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,84,0,10,0,0,3,0,0,11,0,0,25,0,,
Volume,84,17,745,29,23,544,6,12,8,10,41,10,23,,
Peds,84,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,84,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,84,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,84,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,84,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,84,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,84,,0,,,0,,,0,,,0,,,
Distance,84,,1314,,,5296,,,256,,,347,,,
TravelTime,84,,19.9,,,80.2,,,3.9,,,5.3,,,
Right Channeled,84,,,0,,,0,,,0,,,0,,
Alignment,84,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,84,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,84,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,84,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,84,20,100,,20,100,,20,100,,20,100,,,
LastDetect,84,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,84,5,2,,1,6,,8,8,,4,4,,,
DetectPhase2,84,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,84,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,84,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,84,0,0,,0,0,,0,0,,0,0,,,
numDetects,84,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,84,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,84,20,6,,20,6,,20,6,,20,6,,,
DetectType1,84,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,84,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,84,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,84,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,84,,94,,,94,,,94,,,94,,,
DetectSize2,84,,6,,,6,,,6,,,6,,,
DetectType2,84,,3,,,3,,,3,,,3,,,
DetectExtend2,84,,0,,,0,,,0,,,0,,,
Exit Lanes,84,,0,,,0,,,0,,,0,,,
CBD,84,,0,,,,,,,,,,,,
Lane Group Flow,84,18,842,0,25,598,0,0,33,0,0,81,0,,
Up Node,87,31,31,31,98,98,98,88,88,88,89,89,89,,
Dest Node,87,88,98,89,89,31,88,98,89,31,31,88,98,,
Lanes,87,1,2,0,1,2,0,1,2,0,1,2,0,,
Shared,87,0,2,,0,2,,0,2,,0,2,,,
Width,87,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,87,,,,,,,,,,,,,,
Taper,87,,,,,,,,,,,,,,
StLanes,87,,,,,,,,,,,,,,
Grade,87,,,,,,,,,,,,,,
Speed,87,,45,,,45,,,45,,,45,,,
Phase1,87,5,2,,1,6,,3,8,,7,4,,,
LostTime,87,4,5.7,4,4,5.7,4,4,5.5,4,4,4.2,4,,
Lost Time Adjust,87,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,87,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,87,1770,3518,0,1770,3532,0,1770,3245,0,1770,3175,0,,
SatFlowPerm,87,1770,3518,0,1770,3532,0,1770,3245,0,1770,3175,0,,
Allow RTOR,87,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,87,0,5,0,0,2,0,0,20,0,0,46,0,,
Volume,87,17,718,28,21,483,6,23,15,18,77,19,42,,
Peds,87,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,87,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,87,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,87,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,87,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,87,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,87,,0,,,0,,,0,,,0,,,
Distance,87,,570,,,3996,,,200,,,358,,,
TravelTime,87,,8.6,,,60.5,,,3.0,,,5.4,,,
Right Channeled,87,,,0,,,0,,,0,,,0,,
Alignment,87,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,87,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,87,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,87,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,87,20,100,,20,100,,20,100,,20,100,,,
LastDetect,87,0,0,,0,0,,0,0,,0,0,,,
DetectPhase1,87,5,2,,1,6,,3,8,,7,4,,,
DetectPhase2,87,0,0,,0,0,,0,0,,0,0,,,
DetectPhase3,87,0,0,,0,0,,0,0,,0,0,,,
DetectPhase4,87,0,0,,0,0,,0,0,,0,0,,,
SwitchPhase,87,0,0,,0,0,,0,0,,0,0,,,
numDetects,87,1,2,,1,2,,1,2,,1,2,,,
DetectPos1,87,0,0,,0,0,,0,0,,0,0,,,
DetectSize1,87,20,6,,20,6,,20,6,,20,6,,,
DetectType1,87,3,3,,3,3,,3,3,,3,3,,,
DetectExtend1,87,0,0,,0,0,,0,0,,0,0,,,
DetectQueue1,87,0,0,,0,0,,0,0,,0,0,,,
DetectDelay1,87,0,0,,0,0,,0,0,,0,0,,,
DetectPos2,87,,94,,,94,,,94,,,94,,,
DetectSize2,87,,6,,,6,,,6,,,6,,,
DetectType2,87,,3,,,3,,,3,,,3,,,
DetectExtend2,87,,0,,,0,,,0,,,0,,,
Exit Lanes,87,,0,,,0,,,0,,,0,,,
CBD,87,,0,,,,,,,,,,,,
Lane Group Flow,87,18,810,0,23,532,0,25,36,0,84,67,0,,
Up Node,98,87,87,,,84,84,97,,97,,,,,
Dest Node,98,97,84,,,87,97,84,,87,,,,,
Lanes,98,1,2,,,3,0,3,,0,,,,,
Shared,98,0,0,,,2,,2,,,,,,,
Width,98,12,12,,,12,12,12,,12,,,,,
Storage,98,,,,,,,,,,,,,,
Taper,98,,,,,,,,,,,,,,
StLanes,98,,,,,,,,,,,,,,
Grade,98,,,,,,,,,,,,,,
Speed,98,,45,,,45,,45,,,,,,,
Phase1,98,5,2,,,6,,4,,,,,,,
LostTime,98,4,6.2,,,6.2,4,5.8,,4,,,,,
Lost Time Adjust,98,0,0,,,0,0,0,,0,,,,,
IdealFlow,98,1900,1900,,,1900,1900,1900,,1900,,,,,
SatFlow,98,1770,3539,,,5055,0,4721,,0,,,,,
SatFlowPerm,98,1770,3539,,,5055,0,4721,,0,,,,,
Allow RTOR,98,1,1,,,1,1,1,,1,,,,,
SatFlowRTOR,98,0,0,,,12,0,27,,0,,,,,
Volume,98,74,730,,,558,25,21,,25,,,,,
Peds,98,0,0,,,0,0,0,,0,,,,,
Bicycles,98,0,0,,,0,0,0,,0,,,,,
PHF,98,0.92,0.92,,,0.92,0.92,0.92,,0.92,,,,,
Growth,98,100,100,,,100,100,100,,100,,,,,
HeavyVehicles,98,2,2,,,2,2,2,,2,,,,,
BusStops,98,0,0,,,0,0,0,,0,,,,,
Midblock,98,,0,,,0,,0,,,,,,,
Distance,98,,3996,,,1314,,285,,,,,,,
TravelTime,98,,60.5,,,19.9,,4.3,,,,,,,
Right Channeled,98,,0,,,,0,,,0,,,,,
Alignment,98,0,0,,,0,1,0,,1,,,,,
Enter Blocked,98,0,0,,,0,0,0,,0,,,,,
HeadwayFact,98,1.00,1.00,,,1.00,1.00,1.00,,1.00,,,,,
Turning Speed,98,15,60,,,60,9,15,,9,,,,,
FirstDetect,98,20,100,,,100,,20,,,,,,,
LastDetect,98,0,0,,,0,,0,,,,,,,
DetectPhase1,98,5,2,,,6,,4,,,,,,,
DetectPhase2,98,0,0,,,0,,0,,,,,,,
DetectPhase3,98,0,0,,,0,,0,,,,,,,
DetectPhase4,98,0,0,,,0,,0,,,,,,,
SwitchPhase,98,0,0,,,0,,0,,,,,,,
numDetects,98,1,2,,,2,,1,,,,,,,
DetectPos1,98,0,0,,,0,,0,,,,,,,
DetectSize1,98,20,6,,,6,,20,,,,,,,
DetectType1,98,3,3,,,3,,3,,,,,,,
DetectExtend1,98,0,0,,,0,,0,,,,,,,
DetectQueue1,98,0,0,,,0,,0,,,,,,,
DetectDelay1,98,0,0,,,0,,0,,,,,,,
DetectPos2,98,,94,,,94,,,,,,,,,
DetectSize2,98,,6,,,6,,,,,,,,,
DetectType2,98,,3,,,3,,,,,,,,,
DetectExtend2,98,,0,,,0,,,,,,,,,
Exit Lanes,98,,0,,,0,,0,,,,,,,
CBD,98,,0,,,,,,,,,,,,
Lane Group Flow,98,80,793,,,634,0,50,,0,,,,,
