RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
Up Node,2,1,1,1,3,3,3,71,71,71,72,72,72,,,,,,,,,,,,,,
Dest Node,2,71,3,72,72,1,71,3,72,1,1,71,3,,,,,,,,,,,,,,
Lanes,2,2,2,0,1,2,2,2,1,0,1,1,1,,,,,,,,,,,,,,
Shared,2,0,2,,0,0,,0,2,,0,0,,,,,,,,,,,,,,,
Width,2,12,12,12,16,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,2,140,,,150,,150,150,,,130,,180,,,,,,,,,,,,,,
Taper,2,25,,,25,,25,25,,,25,,25,,,,,,,,,,,,,,
StLanes,2,2,,,1,,1,1,,,1,,1,,,,,,,,,,,,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,2,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,2,,,,,,6,,,,,,4,,,,,,,,,,,,,,
LostTime,2,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,2,0.5,-1.7,0,0.5,-1.7,-1.7,0.5,-2.4,0,0.5,-2.4,-2.4,,,,,,,,,,,,,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,2,3433,3536,0,2006,3539,2787,3433,1609,0,1770,1863,1583,,,,,,,,,,,,,,
SatFlowPerm,2,3433,3536,0,2006,3539,2787,3433,1609,0,1770,1863,1583,,,,,,,,,,,,,,
Allow RTOR,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,2,0,1,0,0,0,205,0,38,0,0,0,148,,,,,,,,,,,,,,
Volume,2,55,1314,10,10,912,44,72,4,35,14,4,33,,,,,,,,,,,,,,
Peds,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,2,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,2,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,2,,1612,,,1574,,,520,,,611,,,,,,,,,,,,,,,
TravelTime,2,,24.4,,,23.8,,,7.9,,,9.3,,,,,,,,,,,,,,,
Right Channeled,2,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,2,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,2,1,1,1,0.85,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,2,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,2,50,50,,50,50,50,50,50,,50,50,50,,,,,,,,,,,,,,
LastDetect,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase1,2,5,2,,1,6,6,3,8,,7,4,4,,,,,,,,,,,,,,
DetectPhase2,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase3,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase4,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
SwitchPhase,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
numDetects,2,1,1,,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,
DetectPos1,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectSize1,2,50,50,,50,50,50,50,50,,50,50,50,,,,,,,,,,,,,,
DetectType1,2,3,3,,3,3,3,3,3,,3,3,3,,,,,,,,,,,,,,
DetectExtend1,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectQueue1,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
DetectDelay1,2,0,0,,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,
Exit Lanes,2,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,2,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,2,60,1439,0,11,991,48,78,42,0,15,4,36,,,,,,,,,,,,,,
Up Node,3,2,2,2,4,4,4,69,69,69,70,70,70,,,,,,,,,,,,,,
Dest Node,3,69,4,70,70,2,69,4,70,2,2,69,4,,,,,,,,,,,,,,
Lanes,3,2,2,1,1,3,1,2,2,1,2,2,0,,,,,,,,,,,,,,
Shared,3,0,0,,0,0,,0,0,,0,2,,,,,,,,,,,,,,,
Width,3,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,3,365,,365,206,,305,300,,390,265,,,,,,,,,,,,,,,,
Taper,3,25,,25,25,,25,25,,25,25,,,,,,,,,,,,,,,,
StLanes,3,2,,1,1,,2,2,,1,2,,,,,,,,,,,,,,,,
Grade,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,3,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,3,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,3,,,2,,,6,,,8,,,,,,,,,,,,,,,,,
LostTime,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,3,0.5,1,1,0.5,1,1,0.5,-2.5,-2.5,0.5,0.6,0,,,,,,,,,,,,,,
IdealFlow,3,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,3,3614,3539,1583,1770,5085,1583,3433,3539,1583,3433,3224,0,,,,,,,,,,,,,,
SatFlowPerm,3,3614,3539,1583,1770,5085,1583,3433,3539,1583,3433,3224,0,,,,,,,,,,,,,,
Allow RTOR,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,3,0,0,383,0,0,173,0,0,184,0,38,0,,,,,,,,,,,,,,
Volume,3,0,1060,352,30,605,22,88,38,9,385,24,35,,,,,,,,,,,,,,
Peds,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,3,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,3,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,3,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,3,,1574,,,2221,,,1202,,,1359,,,,,,,,,,,,,,,
TravelTime,3,,23.8,,,33.7,,,18.2,,,20.6,,,,,,,,,,,,,,,
Right Channeled,3,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,3,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,3,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,3,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,
LastDetect,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase1,3,5,2,2,1,6,6,3,8,8,7,4,,,,,,,,,,,,,,,
DetectPhase2,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
SwitchPhase,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
numDetects,3,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
DetectPos1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectSize1,3,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,
DetectType1,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
DetectExtend1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectQueue1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectDelay1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Exit Lanes,3,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,3,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,3,0,1152,383,33,658,24,96,41,10,418,64,0,,,,,,,,,,,,,,
Up Node,4,,3,3,5,5,,,,,68,,68,,,,,,,,,,,,,,
Dest Node,4,,5,68,68,3,,,,,3,,5,,,,,,,,,,,,,,
Lanes,4,,2,1,1,2,,,,,1,,1,,,,,,,,,,,,,,
Shared,4,,0,,0,0,,,,,0,,,,,,,,,,,,,,,,
Width,4,,12,12,12,12,,,,,12,,12,,,,,,,,,,,,,,
Storage,4,,,150,190,,,,,,,,,,,,,,,,,,,,,,
Taper,4,,,25,25,,,,,,,,,,,,,,,,,,,,,,
StLanes,4,,,1,1,,,,,,,,,,,,,,,,,,,,,,
Grade,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,4,,45,,,45,,,,,45,,,,,,,,,,,,,,,,
Phase1,4,,2,,1,6,,,,,4,,,,,,,,,,,,,,,,
PermPhase1,4,,,2,6,,,,,,,,4,,,,,,,,,,,,,,
LostTime,4,,4,4,4,4,,,,,4,,4,,,,,,,,,,,,,,
Lost Time Adjust,4,,0.5,0.5,0.5,0.5,,,,,0.5,,0.5,,,,,,,,,,,,,,
IdealFlow,4,,1900,1900,1900,1900,,,,,1900,,1900,,,,,,,,,,,,,,
SatFlow,4,,3539,1583,1863,3539,,,,,1863,,1863,,,,,,,,,,,,,,
SatFlowPerm,4,,3539,1583,1863,3539,,,,,1863,,1863,,,,,,,,,,,,,,
Allow RTOR,4,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
SatFlowRTOR,4,,0,36,0,0,,,,,0,,0,,,,,,,,,,,,,,
Volume,4,,700,33,0,0,,,,,0,,0,,,,,,,,,,,,,,
Peds,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Bicycles,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
PHF,4,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,,,,,,,,,,,,,
Growth,4,,100,100,100,100,,,,,100,,100,,,,,,,,,,,,,,
HeavyVehicles,4,,2,2,2,2,,,,,2,,2,,,,,,,,,,,,,,
BusStops,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Midblock,4,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
Distance,4,,2221,,,2635,,,,,977,,,,,,,,,,,,,,,,
TravelTime,4,,33.7,,,39.9,,,,,14.8,,,,,,,,,,,,,,,,
Right Channeled,4,,,0,,0,,,,,,,0,,,,,,,,,,,,,,
Alignment,4,,0,1,0,0,,,,,0,,1,,,,,,,,,,,,,,
Enter Blocked,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
HeadwayFact,4,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
Turning Speed,4,,60,9,15,60,,,,,15,,9,,,,,,,,,,,,,,
FirstDetect,4,,100,20,20,100,,,,,20,,20,,,,,,,,,,,,,,
LastDetect,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase1,4,,2,2,1,6,,,,,4,,4,,,,,,,,,,,,,,
DetectPhase2,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase3,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectPhase4,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
SwitchPhase,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
numDetects,4,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
DetectPos1,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectSize1,4,,100,20,20,100,,,,,20,,20,,,,,,,,,,,,,,
DetectType1,4,,3,3,3,3,,,,,3,,3,,,,,,,,,,,,,,
DetectExtend1,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectQueue1,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
DetectDelay1,4,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Exit Lanes,4,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
CBD,4,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,4,,761,36,0,0,,,,,0,,0,,,,,,,,,,,,,,
Up Node,5,4,4,4,7,7,7,13,13,13,6,6,6,,,,,,,,,,,,,,
Dest Node,5,13,7,6,6,4,13,7,6,4,4,13,7,,,,,,,,,,,,,,
Lanes,5,0,2,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Shared,5,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Width,5,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,5,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,5,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
SignControl,5,,0,,,0,,,1,,,1,,,,,,,,,,,,,,,
IdealFlow,5,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,5,0,3539,0,0,3539,0,0,0,0,0,0,0,,,,,,,,,,,,,,
SatFlowPerm,5,0,3539,0,0,3539,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Allow RTOR,5,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Volume,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Peds,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,5,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,5,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,5,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,5,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,5,,2635,,,2666,,,458,,,303,,,,,,,,,,,,,,,
TravelTime,5,,39.9,,,40.4,,,6.9,,,4.6,,,,,,,,,,,,,,,
Right Channeled,5,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,5,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,5,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,5,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,5,,100,,,100,,,,,,,,,,,,,,,,,,,,,
LastDetect,5,,0,,,0,,,,,,,,,,,,,,,,,,,,,
Exit Lanes,5,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,5,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Up Node,7,5,5,,,65,65,67,,67,,,,,,,,,,,,,,,,,
Dest Node,7,67,65,,,5,67,65,,5,,,,,,,,,,,,,,,,,
Lanes,7,1,2,,,2,0,1,,1,,,,,,,,,,,,,,,,,
Shared,7,0,0,,,2,,0,,,,,,,,,,,,,,,,,,,
Width,7,12,12,,,12,12,12,,12,,,,,,,,,,,,,,,,,
Storage,7,130,,,,,,65,,,,,,,,,,,,,,,,,,,
Taper,7,25,,,,,,25,,,,,,,,,,,,,,,,,,,
StLanes,7,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Grade,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,7,,45,,,45,,45,,,,,,,,,,,,,,,,,,,
Phase1,7,5,2,,,6,,4,,,,,,,,,,,,,,,,,,,
PermPhase1,7,2,,,,,,,,4,,,,,,,,,,,,,,,,,
LostTime,7,4,4,,,4,4,4,,4,,,,,,,,,,,,,,,,,
Lost Time Adjust,7,0.5,0.5,,,0.5,0,0.5,,0.5,,,,,,,,,,,,,,,,,
IdealFlow,7,1900,1900,,,1900,1900,1900,,1900,,,,,,,,,,,,,,,,,
SatFlow,7,1863,3539,,,3539,0,1863,,1863,,,,,,,,,,,,,,,,,
SatFlowPerm,7,1863,3539,,,3539,0,1863,,1863,,,,,,,,,,,,,,,,,
Allow RTOR,7,1,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,
SatFlowRTOR,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
Volume,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
Peds,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
Bicycles,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
PHF,7,0.92,0.92,,,0.92,0.92,0.92,,0.92,,,,,,,,,,,,,,,,,
Growth,7,100,100,,,100,100,100,,100,,,,,,,,,,,,,,,,,
HeavyVehicles,7,2,2,,,2,2,2,,2,,,,,,,,,,,,,,,,,
BusStops,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
Midblock,7,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
Distance,7,,2666,,,1749,,1046,,,,,,,,,,,,,,,,,,,
TravelTime,7,,40.4,,,26.5,,15.8,,,,,,,,,,,,,,,,,,,
Right Channeled,7,,0,,,,0,,,0,,,,,,,,,,,,,,,,,
Alignment,7,0,0,,,0,1,0,,1,,,,,,,,,,,,,,,,,
Enter Blocked,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
HeadwayFact,7,1,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,
Turning Speed,7,15,60,,,60,9,15,,9,,,,,,,,,,,,,,,,,
FirstDetect,7,20,100,,,100,,20,,20,,,,,,,,,,,,,,,,,
LastDetect,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectPhase1,7,5,2,,,6,,4,,4,,,,,,,,,,,,,,,,,
DetectPhase2,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectPhase3,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectPhase4,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
SwitchPhase,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
numDetects,7,1,1,,,1,,1,,1,,,,,,,,,,,,,,,,,
DetectPos1,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectSize1,7,20,100,,,100,,20,,20,,,,,,,,,,,,,,,,,
DetectType1,7,3,3,,,3,,3,,3,,,,,,,,,,,,,,,,,
DetectExtend1,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectQueue1,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
DetectDelay1,7,0,0,,,0,,0,,0,,,,,,,,,,,,,,,,,
Exit Lanes,7,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
CBD,7,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,7,0,0,,,0,0,0,,0,,,,,,,,,,,,,,,,,
Up Node,8,65,65,65,60,60,60,63,63,63,64,64,64,,,,,,,,,,,,,,
Dest Node,8,63,60,64,64,65,63,60,64,65,65,63,60,,,,,,,,,,,,,,
Lanes,8,1,2,1,1,2,0,1,1,0,1,1,0,,,,,,,,,,,,,,
Shared,8,0,0,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,8,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,8,150,,370,170,,,75,,,250,,250,,,,,,,,,,,,,,
Taper,8,25,,25,25,,,25,,,25,,25,,,,,,,,,,,,,,
StLanes,8,1,,1,1,,,1,,,1,,0,,,,,,,,,,,,,,
Grade,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,8,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,8,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,8,2,,2,6,,,8,,,4,,,,,,,,,,,,,,,,
LostTime,8,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,8,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,8,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,8,1770,3539,1583,1770,3504,0,1770,1837,0,1770,1824,0,,,,,,,,,,,,,,
SatFlowPerm,8,356,3539,1583,512,3504,0,991,1837,0,700,1824,0,,,,,,,,,,,,,,
Allow RTOR,8,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,8,0,0,88,0,7,0,0,4,0,0,7,0,,,,,,,,,,,,,,
Volume,8,75,700,35,50,775,55,50,250,25,30,150,25,,,,,,,,,,,,,,
Peds,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,8,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,8,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,8,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,8,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,8,,1438,,,3361,,,1258,,,1450,,,,,,,,,,,,,,,
TravelTime,8,,21.8,,,50.9,,,19.1,,,22,,,,,,,,,,,,,,,
Right Channeled,8,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,8,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,8,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,8,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,8,20,100,20,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,8,5,2,2,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
DetectPhase2,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,8,1,1,1,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,8,20,100,20,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,8,3,3,3,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,8,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,8,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,8,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,8,82,761,38,54,902,0,54,299,0,33,190,0,,,,,,,,,,,,,,
Up Node,11,56,56,56,51,51,51,54,54,54,55,55,55,,,,,,,,,,,,,,
Dest Node,11,54,51,55,55,56,54,51,55,56,56,54,51,,,,,,,,,,,,,,
Lanes,11,1,2,1,1,2,0,1,1,0,1,1,0,,,,,,,,,,,,,,
Shared,11,0,0,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,11,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,11,190,,200,185,,,100,,100,120,,120,,,,,,,,,,,,,,
Taper,11,25,,25,25,,,25,,25,25,,25,,,,,,,,,,,,,,
StLanes,11,1,,1,1,,,1,,0,1,,0,,,,,,,,,,,,,,
Grade,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,11,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,11,5,2,,1,6,,,4,,,4,,,,,,,,,,,,,,,
PermPhase1,11,2,,2,6,,,4,,,4,,,,,,,,,,,,,,,,
LostTime,11,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,11,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,11,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
