RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
SatFlow,11,1770,3539,1583,1770,3504,0,1770,1630,0,1770,1649,0,,,,,,,,,,,,,,
SatFlowPerm,11,492,3539,1583,512,3504,0,1302,1630,0,1298,1649,0,,,,,,,,,,,,,,
Allow RTOR,11,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,11,0,0,117,0,9,0,0,65,0,0,59,0,,,,,,,,,,,,,,
Volume,11,65,702,108,107,778,54,46,12,60,92,17,54,,,,,,,,,,,,,,
Peds,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,11,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,11,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,11,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,11,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,11,,1780,,,651,,,520,,,660,,,,,,,,,,,,,,,
TravelTime,11,,27,,,9.9,,,7.9,,,10,,,,,,,,,,,,,,,
Right Channeled,11,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,11,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,11,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,11,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,11,20,100,20,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,11,5,2,2,1,6,,4,4,,4,4,,,,,,,,,,,,,,,
DetectPhase2,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,11,1,1,1,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,11,20,100,20,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,11,3,3,3,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,11,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,11,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,11,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,11,71,763,117,116,905,0,50,78,0,100,77,0,,,,,,,,,,,,,,
Up Node,14,,,,47,,47,48,48,,,15,15,,,,,,,,,,,,,,
Dest Node,14,,,,15,,48,47,15,,,48,47,,,,,,,,,,,,,,
Lanes,14,,,,1,,1,1,2,,,2,0,,,,,,,,,,,,,,
Shared,14,,,,0,,,0,0,,,2,,,,,,,,,,,,,,,
Width,14,,,,12,,12,12,12,,,12,12,,,,,,,,,,,,,,
Storage,14,,,,,,,200,,,,,,,,,,,,,,,,,,,
Taper,14,,,,,,,25,,,,,,,,,,,,,,,,,,,
StLanes,14,,,,,,,1,,,,,,,,,,,,,,,,,,,
Grade,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,14,,,,45,,,,45,,,45,,,,,,,,,,,,,,,
Phase1,14,,,,8,,,5,2,,,6,,,,,,,,,,,,,,,
PermPhase1,14,,,,,,8,2,,,,,,,,,,,,,,,,,,,
LostTime,14,,,,4,,4,4,4,,,4,4,,,,,,,,,,,,,,
Lost Time Adjust,14,,,,0.5,,0.5,0.5,0.5,,,0.5,0,,,,,,,,,,,,,,
IdealFlow,14,,,,1900,,1900,1900,1900,,,1900,1900,,,,,,,,,,,,,,
SatFlow,14,,,,1770,,1583,1770,3539,,,3539,0,,,,,,,,,,,,,,
SatFlowPerm,14,,,,1770,,1583,367,3539,,,3539,0,,,,,,,,,,,,,,
Allow RTOR,14,,,,1,,1,1,1,,,1,1,,,,,,,,,,,,,,
SatFlowRTOR,14,,,,0,,11,0,0,,,0,0,,,,,,,,,,,,,,
Volume,14,,,,78,,10,4,910,,,982,0,,,,,,,,,,,,,,
Peds,14,,,,0,,0,0,0,,,0,0,,,,,,,,,,,,,,
Bicycles,14,,,,0,,0,0,0,,,0,0,,,,,,,,,,,,,,
PHF,14,,,,0.92,,0.92,0.92,0.92,,,0.92,0.92,,,,,,,,,,,,,,
Growth,14,,,,100,,100,100,100,,,100,100,,,,,,,,,,,,,,
HeavyVehicles,14,,,,2,,2,2,2,,,2,2,,,,,,,,,,,,,,
BusStops,14,,,,0,,0,0,0,,,0,0,,,,,,,,,,,,,,
Midblock,14,,,,0,,,,0,,,0,,,,,,,,,,,,,,,
Distance,14,,,,546,,,,2057,,,2058,,,,,,,,,,,,,,,
TravelTime,14,,,,8.3,,,,31.2,,,31.2,,,,,,,,,,,,,,,
Right Channeled,14,,,,,,0,,0,,,,0,,,,,,,,,,,,,,
Alignment,14,,,,0,,1,0,0,,,0,1,,,,,,,,,,,,,,
Enter Blocked,14,,,,0,,0,0,0,,,0,0,,,,,,,,,,,,,,
HeadwayFact,14,,,,1,,1,1,1,,,1,1,,,,,,,,,,,,,,
Turning Speed,14,,,,15,,9,15,60,,,60,9,,,,,,,,,,,,,,
FirstDetect,14,,,,20,,20,20,100,,,100,,,,,,,,,,,,,,,
LastDetect,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectPhase1,14,,,,8,,8,5,2,,,6,,,,,,,,,,,,,,,
DetectPhase2,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectPhase3,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectPhase4,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
SwitchPhase,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
numDetects,14,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,
DetectPos1,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectSize1,14,,,,20,,20,20,100,,,100,,,,,,,,,,,,,,,
DetectType1,14,,,,3,,3,3,3,,,3,,,,,,,,,,,,,,,
DetectExtend1,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectQueue1,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
DetectDelay1,14,,,,0,,0,0,0,,,0,,,,,,,,,,,,,,,
Exit Lanes,14,,,,0,,,,0,,,0,,,,,,,,,,,,,,,
CBD,14,,,,,,,,0,,,,,,,,,,,,,,,,,,
Lane Group Flow,14,,,,85,,11,4,989,,,1067,0,,,,,,,,,,,,,,
Up Node,15,46,46,46,45,45,45,14,14,14,16,16,16,,,,,,,,,,,,,,
Dest Node,15,14,45,16,16,46,14,45,16,46,46,14,45,,,,,,,,,,,,,,
Lanes,15,1,1,0,1,1,0,1,2,0,1,2,0,,,,,,,,,,,,,,
Shared,15,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,15,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,15,,,,,,,150,,,200,,,,,,,,,,,,,,,,
Taper,15,,,,,,,25,,,25,,,,,,,,,,,,,,,,
StLanes,15,,,,,,,1,,,1,,,,,,,,,,,,,,,,
Grade,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,15,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,15,,4,,,4,,5,2,,1,6,,,,,,,,,,,,,,,
PermPhase1,15,4,,,4,,,2,,,6,,,,,,,,,,,,,,,,
LostTime,15,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,15,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,15,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,15,1770,1701,0,1770,1628,0,1770,3532,0,1770,3529,0,,,,,,,,,,,,,,
SatFlowPerm,15,1317,1701,0,1388,1628,0,395,3532,0,466,3529,0,,,,,,,,,,,,,,
Allow RTOR,15,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,15,0,11,0,0,63,0,0,2,0,0,3,0,,,,,,,,,,,,,,
Volume,15,24,7,10,77,11,58,64,872,12,12,894,18,,,,,,,,,,,,,,
Peds,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,15,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,15,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,15,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,15,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,15,,621,,,448,,,2058,,,1950,,,,,,,,,,,,,,,
TravelTime,15,,9.4,,,6.8,,,31.2,,,29.5,,,,,,,,,,,,,,,
Right Channeled,15,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,15,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,15,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,15,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,15,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,15,4,4,,4,4,,5,2,,1,6,,,,,,,,,,,,,,,
DetectPhase2,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,15,1,1,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,15,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,15,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,15,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,15,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,15,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,15,26,19,0,84,75,0,70,961,0,13,992,0,,,,,,,,,,,,,,
Up Node,16,,,,,,,,,,,,,15,15,15,44,44,44,21,21,21,17,17,17,,
Dest Node,16,,,,,,,,,,,,,21,17,44,15,21,17,17,44,15,44,15,21,,
Lanes,16,,,,,,,,,,,,,1,2,1,2,1,1,1,1,0,2,2,0,,
Shared,16,,,,,,,,,,,,,0,0,,0,0,,0,2,,0,0,,,
Width,16,,,,,,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,16,,,,,,,,,,,,,150,,150,,,240,,,,200,,,,
Taper,16,,,,,,,,,,,,,25,,25,,,25,,,,25,,,,
StLanes,16,,,,,,,,,,,,,1,,1,,,1,,,,2,,,,
Grade,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,16,,,,,,,,,,,,,,45,,,45,,,45,,,45,,,
Phase1,16,,,,,,,,,,,,,5,2,,4,4,4,,3,,1,6,,,
PermPhase1,16,,,,,,,,,,,,,,,2,,,2,3,,,1,6,,,
LostTime,16,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,
Lost Time Adjust,16,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,,
IdealFlow,16,,,,,,,,,,,,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,16,,,,,,,,,,,,,1863,3539,1583,3433,1863,1583,1863,1863,0,3433,3539,0,,
SatFlowPerm,16,,,,,,,,,,,,,1863,3539,1583,3433,1863,1583,1863,1863,0,3433,3539,0,,
Allow RTOR,16,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,16,,,,,,,,,,,,,0,0,126,0,0,1091,0,0,0,0,0,0,,
Volume,16,,,,,,,,,,,,,0,173,73,808,0,161,0,0,0,52,828,0,,
Peds,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,16,,,,,,,,,,,,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,16,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,16,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,16,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,
Distance,16,,,,,,,,,,,,,,1950,,,1301,,,465,,,2209,,,
TravelTime,16,,,,,,,,,,,,,,29.5,,,19.7,,,7,,,33.5,,,
Right Channeled,16,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,
Alignment,16,,,,,,,,,,,,,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,16,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,
Turning Speed,16,,,,,,,,,,,,,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,16,,,,,,,,,,,,,20,100,20,20,100,20,20,100,,20,100,,,
LastDetect,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectPhase1,16,,,,,,,,,,,,,5,2,2,4,4,4,3,3,,1,6,,,
DetectPhase2,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectPhase3,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectPhase4,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
SwitchPhase,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
numDetects,16,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,1,1,,,
DetectPos1,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectSize1,16,,,,,,,,,,,,,20,100,20,20,100,20,20,100,,20,100,,,
DetectType1,16,,,,,,,,,,,,,3,3,3,3,3,3,3,3,,3,3,,,
DetectExtend1,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectQueue1,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
DetectDelay1,16,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,,,
Exit Lanes,16,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,
CBD,16,,,,,,,,,,,,,,0,,,,,,,,,,,,
Lane Group Flow,16,,,,,,,,,,,,,0,188,79,878,0,175,0,0,0,57,900,0,,
Up Node,17,,,,,,,,,,18,,18,,16,16,,,,,,,19,19,,,
Dest Node,17,,,,,,,,,,16,,19,,19,18,,,,,,,18,16,,,
Lanes,17,,,,,,,,,,1,,1,,2,0,,,,,,,1,2,,,
Shared,17,,,,,,,,,,0,,,,2,,,,,,,,0,0,,,
Width,17,,,,,,,,,,12,,12,,12,12,,,,,,,12,12,,,
Storage,17,,,,,,,,,,,,,,,,,,,,,,250,,,,
Taper,17,,,,,,,,,,,,,,,,,,,,,,25,,,,
StLanes,17,,,,,,,,,,,,,,,,,,,,,,1,,,,
Grade,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,17,,,,,,,,,,45,,,,45,,,,,,,,,45,,,
Phase1,17,,,,,,,,,,4,,,,2,,,,,,,,1,6,,,
PermPhase1,17,,,,,,,,,,,,4,,,,,,,,,,6,,,,
LostTime,17,,,,,,,,,,4,,4,,4,4,,,,,,,4,4,,,
Lost Time Adjust,17,,,,,,,,,,0.5,,0.5,,0.5,0,,,,,,,0.5,0.5,,,
IdealFlow,17,,,,,,,,,,1900,,1900,,1900,1900,,,,,,,1900,1900,,,
SatFlow,17,,,,,,,,,,1770,,1583,,3539,0,,,,,,,1770,3539,,,
SatFlowPerm,17,,,,,,,,,,1770,,1583,,3539,0,,,,,,,488,3539,,,
Allow RTOR,17,,,,,,,,,,1,,1,,1,1,,,,,,,1,1,,,
SatFlowRTOR,17,,,,,,,,,,0,,33,,0,0,,,,,,,0,0,,,
Volume,17,,,,,,,,,,30,,30,,816,0,,,,,,,17,881,,,
Peds,17,,,,,,,,,,0,,0,,0,0,,,,,,,0,0,,,
Bicycles,17,,,,,,,,,,0,,0,,0,0,,,,,,,0,0,,,
PHF,17,,,,,,,,,,0.92,,0.92,,0.92,0.92,,,,,,,0.92,0.92,,,
Growth,17,,,,,,,,,,100,,100,,100,100,,,,,,,100,100,,,
HeavyVehicles,17,,,,,,,,,,2,,2,,2,2,,,,,,,2,2,,,
BusStops,17,,,,,,,,,,0,,0,,0,0,,,,,,,0,0,,,
Midblock,17,,,,,,,,,,0,,,,0,,,,,,,,,0,,,
Distance,17,,,,,,,,,,840,,,,2209,,,,,,,,,3971,,,
TravelTime,17,,,,,,,,,,12.7,,,,33.5,,,,,,,,,60.2,,,
Right Channeled,17,,,,,,,,,,,,0,,,0,,,,,,,,0,,,
Alignment,17,,,,,,,,,,0,,1,,0,1,,,,,,,0,0,,,
Enter Blocked,17,,,,,,,,,,0,,0,,0,0,,,,,,,0,0,,,
HeadwayFact,17,,,,,,,,,,1,,1,,1,1,,,,,,,1,1,,,
Turning Speed,17,,,,,,,,,,15,,9,,60,9,,,,,,,15,60,,,
FirstDetect,17,,,,,,,,,,20,,20,,100,,,,,,,,20,100,,,
LastDetect,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectPhase1,17,,,,,,,,,,4,,4,,2,,,,,,,,1,6,,,
DetectPhase2,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectPhase3,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectPhase4,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
SwitchPhase,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
numDetects,17,,,,,,,,,,1,,1,,1,,,,,,,,1,1,,,
DetectPos1,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectSize1,17,,,,,,,,,,20,,20,,100,,,,,,,,20,100,,,
DetectType1,17,,,,,,,,,,3,,3,,3,,,,,,,,3,3,,,
DetectExtend1,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectQueue1,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
DetectDelay1,17,,,,,,,,,,0,,0,,0,,,,,,,,0,0,,,
Exit Lanes,17,,,,,,,,,,0,,,,0,,,,,,,,,0,,,
CBD,17,,,,,,,,,,,,,,0,,,,,,,,,,,,
Lane Group Flow,17,,,,,,,,,,33,,33,,887,0,,,,,,,18,958,,,
Up Node,19,17,17,17,20,20,20,42,42,42,43,43,43,,,,,,,,,,,,,,
Dest Node,19,42,20,43,43,17,42,20,43,17,17,42,20,,,,,,,,,,,,,,
Lanes,19,1,2,1,1,2,0,1,1,1,1,1,1,,,,,,,,,,,,,,
Shared,19,0,0,,0,2,,0,0,,0,0,,,,,,,,,,,,,,,
Width,19,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,19,250,,150,250,,,100,,100,200,,200,,,,,,,,,,,,,,
Taper,19,25,,25,25,,,25,,25,25,,25,,,,,,,,,,,,,,
StLanes,19,1,,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,
Grade,19,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,19,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,19,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,19,2,,2,6,,,8,,8,4,,4,,,,,,,,,,,,,,
LostTime,19,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,19,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
IdealFlow,19,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,19,1770,3539,1583,1770,3536,0,1770,1863,1583,1770,1863,1583,,,,,,,,,,,,,,
SatFlowPerm,19,490,3539,1583,533,3536,0,1410,1863,1583,1166,1863,1583,,,,,,,,,,,,,,
Allow RTOR,19,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,19,0,0,126,0,0,0,0,0,285,0,0,88,,,,,,,,,,,,,,
Volume,19,10,719,89,14,765,3,6,0,9,104,2,42,,,,,,,,,,,,,,
Peds,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,19,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,19,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,19,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,19,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,19,,3971,,,2100,,,461,,,534,,,,,,,,,,,,,,,
TravelTime,19,,60.2,,,31.8,,,7,,,8.1,,,,,,,,,,,,,,,
Right Channeled,19,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,19,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,19,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,19,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,19,20,100,20,20,100,,20,100,20,20,100,20,,,,,,,,,,,,,,
LastDetect,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase1,19,5,2,2,1,6,,3,8,8,7,4,4,,,,,,,,,,,,,,
DetectPhase2,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase3,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase4,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
SwitchPhase,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
numDetects,19,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,
DetectPos1,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectSize1,19,20,100,20,20,100,,20,100,20,20,100,20,,,,,,,,,,,,,,
DetectType1,19,3,3,3,3,3,,3,3,3,3,3,3,,,,,,,,,,,,,,
DetectExtend1,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectQueue1,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectDelay1,19,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
Exit Lanes,19,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,19,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,19,11,782,97,15,835,0,7,0,10,113,2,46,,,,,,,,,,,,,,
Up Node,20,,19,19,38,38,,,,,41,,41,,,,,,,,,,,,,,
Dest Node,20,,38,41,41,19,,,,,19,,38,,,,,,,,,,,,,,
Lanes,20,,2,0,0,2,,,,,1,,0,,,,,,,,,,,,,,
Shared,20,,0,,0,0,,,,,2,,,,,,,,,,,,,,,,
Width,20,,12,12,12,12,,,,,12,,12,,,,,,,,,,,,,,
Storage,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,20,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,20,,45,,,45,,,,,45,,,,,,,,,,,,,,,,
Phase1,20,,2,,,6,,,,,4,,,,,,,,,,,,,,,,
LostTime,20,,4,4,4,4,,,,,4,,4,,,,,,,,,,,,,,
Lost Time Adjust,20,,0.5,0,0,0.5,,,,,0.5,,0,,,,,,,,,,,,,,
