RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,NEL,NET,NER,NWL,NWT,NWR,SEL,SET,SER,SWL,SWT,SWR,PED,HOLD
IdealFlow,20,,1900,1900,1900,1900,,,,,1900,,1900,,,,,,,,,,,,,,
SatFlow,20,,3539,0,0,3539,,,,,1863,,0,,,,,,,,,,,,,,
SatFlowPerm,20,,3539,0,0,3539,,,,,1863,,0,,,,,,,,,,,,,,
Allow RTOR,20,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
SatFlowRTOR,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Volume,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Peds,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Bicycles,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
PHF,20,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,,,,,,,,,,,,,
Growth,20,,100,100,100,100,,,,,100,,100,,,,,,,,,,,,,,
HeavyVehicles,20,,2,2,2,2,,,,,2,,2,,,,,,,,,,,,,,
BusStops,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Midblock,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
Distance,20,,2100,,,1581,,,,,798,,,,,,,,,,,,,,,,
TravelTime,20,,31.8,,,24,,,,,12.1,,,,,,,,,,,,,,,,
Right Channeled,20,,,0,,0,,,,,,,0,,,,,,,,,,,,,,
Alignment,20,,0,1,0,0,,,,,0,,1,,,,,,,,,,,,,,
Enter Blocked,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
HeadwayFact,20,,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,
Turning Speed,20,,60,9,15,60,,,,,15,,9,,,,,,,,,,,,,,
FirstDetect,20,,100,,,100,,,,,20,,,,,,,,,,,,,,,,
LastDetect,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectPhase1,20,,2,,,6,,,,,4,,,,,,,,,,,,,,,,
DetectPhase2,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectPhase3,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectPhase4,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
SwitchPhase,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
numDetects,20,,1,,,1,,,,,1,,,,,,,,,,,,,,,,
DetectPos1,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectSize1,20,,100,,,100,,,,,20,,,,,,,,,,,,,,,,
DetectType1,20,,3,,,3,,,,,3,,,,,,,,,,,,,,,,
DetectExtend1,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectQueue1,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
DetectDelay1,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
Exit Lanes,20,,0,,,0,,,,,0,,,,,,,,,,,,,,,,
CBD,20,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,20,,0,0,0,0,,,,,0,,0,,,,,,,,,,,,,,
Up Node,22,38,38,38,33,33,33,36,36,36,37,37,37,,,,,,,,,,,,,,
Dest Node,22,36,33,37,37,38,36,33,37,38,38,36,33,,,,,,,,,,,,,,
Lanes,22,1,2,0,1,2,0,0,1,0,0,1,0,,,,,,,,,,,,,,
Shared,22,0,2,,0,2,,0,3,,0,3,,,,,,,,,,,,,,,
Width,22,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,22,200,,,200,,,100,,,100,,,,,,,,,,,,,,,,
Taper,22,25,,,25,,,25,,,25,,,,,,,,,,,,,,,,
StLanes,22,1,,,1,,,0,,,0,,,,,,,,,,,,,,,,
Grade,22,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,22,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
SignControl,22,,0,,,0,,,1,,,1,,,,,,,,,,,,,,,
IdealFlow,22,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,22,1863,3539,0,1863,3539,0,0,1863,0,0,1863,0,,,,,,,,,,,,,,
SatFlowPerm,22,1863,3539,0,1863,3539,0,0,1863,0,0,1863,0,,,,,,,,,,,,,,
Allow RTOR,22,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Volume,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Peds,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,22,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,22,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,22,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,22,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,22,,1282,,,1300,,,666,,,934,,,,,,,,,,,,,,,
TravelTime,22,,19.4,,,19.7,,,10.1,,,14.2,,,,,,,,,,,,,,,
Right Channeled,22,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,22,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,22,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,22,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,22,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,22,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,22,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,22,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Up Node,24,33,33,33,25,25,25,10,10,10,32,32,32,,,,,,,,,,,,,,
Dest Node,24,10,25,32,32,33,10,25,32,33,33,10,25,,,,,,,,,,,,,,
Lanes,24,1,2,1,1,2,0,1,1,0,1,1,1,,,,,,,,,,,,,,
Shared,24,0,0,,0,2,,0,2,,0,1,,,,,,,,,,,,,,,
Width,24,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,24,300,,250,250,,,100,,,,,200,,,,,,,,,,,,,,
Taper,24,25,,25,25,,,25,,,,,25,,,,,,,,,,,,,,
StLanes,24,1,,1,1,,,1,,,,,1,,,,,,,,,,,,,,
Grade,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,24,,45,,,45,,,45,,,25,,,,,,,,,,,,,,,
Phase1,24,5,2,,1,6,,3,8,,7,4,,,,,,,,,,,,,,,
PermPhase1,24,2,,2,6,,,,,,,,4,,,,,,,,,,,,,,
LostTime,24,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,24,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,,,,,,,,,,,,,,
IdealFlow,24,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,24,1770,3539,1583,1770,3504,0,1770,1609,0,1681,1695,1583,,,,,,,,,,,,,,
SatFlowPerm,24,712,3539,1583,495,3504,0,1770,1609,0,1681,1522,1583,,,,,,,,,,,,,,
Allow RTOR,24,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,24,0,0,126,0,8,0,0,20,0,0,0,126,,,,,,,,,,,,,,
Volume,24,29,678,34,2,612,41,3,2,18,71,5,25,,,,,,,,,,,,,,
Peds,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,24,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,24,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,24,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,24,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,24,,4114,,,1327,,,580,,,750,,,,,,,,,,,,,,,
TravelTime,24,,62.3,,,20.1,,,8.8,,,20.5,,,,,,,,,,,,,,,
Right Channeled,24,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,24,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,24,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,24,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,24,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,24,20,100,20,20,100,,20,100,,20,100,20,,,,,,,,,,,,,,
LastDetect,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase1,24,5,2,2,1,6,,3,8,,7,4,4,,,,,,,,,,,,,,
DetectPhase2,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase3,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectPhase4,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
SwitchPhase,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
numDetects,24,1,1,1,1,1,,1,1,,1,1,1,,,,,,,,,,,,,,
DetectPos1,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectSize1,24,20,100,20,20,100,,20,100,,20,100,20,,,,,,,,,,,,,,
DetectType1,24,3,3,3,3,3,,3,3,,3,3,3,,,,,,,,,,,,,,
DetectExtend1,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectQueue1,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
DetectDelay1,24,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,,,
Exit Lanes,24,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,24,,0,,,,,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,24,,,,,,,,,,*47,,,,,,,,,,,,,,,,
Lane Group Flow,24,32,737,37,2,710,0,3,22,0,41,41,27,,,,,,,,,,,,,,
Up Node,25,24,24,24,26,26,26,12,12,12,30,30,30,,,,,,,,,,,,,,
Dest Node,25,12,26,30,30,24,12,26,30,24,24,12,26,,,,,,,,,,,,,,
Lanes,25,1,3,1,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Shared,25,0,0,,0,0,,0,0,,0,1,,,,,,,,,,,,,,,
Width,25,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,25,250,,250,200,,200,100,,100,,,,,,,,,,,,,,,,,
Taper,25,25,,25,25,,25,25,,25,,,,,,,,,,,,,,,,,
StLanes,25,1,,1,2,,1,1,,1,,,,,,,,,,,,,,,,,
Grade,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,25,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,25,5,2,,1,6,,3,3,,4,4,,,,,,,,,,,,,,,
PermPhase1,25,,,2,,,6,,,3,,,4,,,,,,,,,,,,,,
LostTime,25,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,
IdealFlow,25,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,25,1863,5085,1583,3433,3539,1583,1770,1863,1583,1681,1727,1583,,,,,,,,,,,,,,
SatFlowPerm,25,1863,5085,1583,3433,3539,1583,1770,1863,1583,1681,1727,1583,,,,,,,,,,,,,,
Allow RTOR,25,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,25,0,0,88,0,0,116,0,0,88,0,0,88,,,,,,,,,,,,,,
Volume,25,0,670,34,5,644,107,7,2,2,3,1,25,,,,,,,,,,,,,,
Peds,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,25,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,25,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,25,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,25,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,25,,1327,,,1377,,,406,,,948,,,,,,,,,,,,,,,
TravelTime,25,,20.1,,,20.9,,,6.2,,,14.4,,,,,,,,,,,,,,,
Right Channeled,25,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,25,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,25,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,25,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,25,20,100,20,20,100,20,20,100,20,20,100,20,,,,,,,,,,,,,,
LastDetect,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase1,25,5,2,2,1,6,6,3,3,3,4,4,4,,,,,,,,,,,,,,
DetectPhase2,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase3,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectPhase4,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
SwitchPhase,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
numDetects,25,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
DetectPos1,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectSize1,25,20,100,20,20,100,20,20,100,20,20,100,20,,,,,,,,,,,,,,
DetectType1,25,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,
DetectExtend1,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectQueue1,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
DetectDelay1,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Exit Lanes,25,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,25,,0,,,,,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,25,,,,,,,,,,*33,,,,,,,,,,,,,,,,
Lane Group Flow,25,0,728,37,5,700,116,8,2,2,2,2,27,,,,,,,,,,,,,,
Up Node,26,25,25,25,29,29,29,27,27,27,28,28,28,,,,,,,,,,,,,,
Dest Node,26,27,29,28,28,25,27,29,28,25,25,27,29,,,,,,,,,,,,,,
Lanes,26,2,2,1,1,2,1,1,2,1,1,2,0,,,,,,,,,,,,,,
Shared,26,0,0,,0,2,,0,3,,0,2,,,,,,,,,,,,,,,
Width,26,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,26,1000,,250,250,,250,250,,350,215,,,,,,,,,,,,,,,,
Taper,26,25,,25,25,,25,25,,25,25,,,,,,,,,,,,,,,,
StLanes,26,2,,0,1,,1,1,,1,1,,,,,,,,,,,,,,,,
Grade,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,26,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,26,5,2,,1,6,4,4,4,,3,3,,,,,,,,,,,,,,,
Phase2,26,,,,,8,6,7,7,,,,,,,,,,,,,,,,,,
Phase3,26,,,,,,7,,,,,,,,,,,,,,,,,,,,
PermPhase1,26,5,,2,,,4,,,5,,,,,,,,,,,,,,,,,
PermPhase2,26,,,,,,6,,,7,,,,,,,,,,,,,,,,,
PermPhase3,26,,,,,,7,,,,,,,,,,,,,,,,,,,,
LostTime,26,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,26,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,26,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,26,3433,3539,1583,1770,3356,1441,1610,2935,1441,1770,3415,0,,,,,,,,,,,,,,
SatFlowPerm,26,3433,3539,1583,1770,3356,1441,1610,2935,1441,1770,3415,0,,,,,,,,,,,,,,
Allow RTOR,26,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,26,0,0,126,0,5,173,0,216,397,0,25,0,,,,,,,,,,,,,,
Volume,26,682,347,111,81,249,177,169,275,731,68,273,85,,,,,,,,,,,,,,
Peds,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,26,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,26,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,26,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,26,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,26,,1377,,,933,,,1770,,,891,,,,,,,,,,,,,,,
TravelTime,26,,20.9,,,14.1,,,26.8,,,13.5,,,,,,,,,,,,,,,
Right Channeled,26,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,26,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,26,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,26,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,26,20,100,20,20,100,20,20,100,20,20,100,,,,,,,,,,,,,,,
LastDetect,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase1,26,5,2,2,1,6,4,4,4,5,3,3,,,,,,,,,,,,,,,
DetectPhase2,26,0,0,0,0,8,6,7,7,7,0,0,,,,,,,,,,,,,,,
DetectPhase3,26,0,0,0,0,0,7,0,0,0,0,0,,,,,,,,,,,,,,,
DetectPhase4,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
SwitchPhase,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
numDetects,26,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
DetectPos1,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectSize1,26,20,100,20,20,100,20,20,100,20,20,100,,,,,,,,,,,,,,,
DetectType1,26,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
DetectExtend1,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectQueue1,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
DetectDelay1,26,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Exit Lanes,26,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,26,,0,,,,,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,26,,,,,,*10,*11,,*50,,,,,,,,,,,,,,,,,
Lane Group Flow,26,741,377,121,88,290,173,164,717,397,74,389,0,,,,,,,,,,,,,,
Up Node,33,22,22,22,24,24,24,34,34,34,35,35,35,,,,,,,,,,,,,,
Dest Node,33,34,24,35,35,22,34,24,35,22,22,34,24,,,,,,,,,,,,,,
Lanes,33,1,2,0,1,2,0,1,1,0,1,1,0,,,,,,,,,,,,,,
Shared,33,0,2,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,33,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,33,250,,,250,,,,,,,,,,,,,,,,,,,,,,
Taper,33,25,,,25,,,,,,,,,,,,,,,,,,,,,,
StLanes,33,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Grade,33,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,33,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
Phase1,33,,2,,,6,,,8,,,4,,,,,,,,,,,,,,,
PermPhase1,33,2,,,6,,,8,,,4,,,,,,,,,,,,,,,,
LostTime,33,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,
Lost Time Adjust,33,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,,,,,,,,,,,,,,
IdealFlow,33,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,,,
SatFlow,33,1770,3536,0,1770,3539,0,1770,1583,0,1770,1583,0,,,,,,,,,,,,,,
SatFlowPerm,33,607,3536,0,693,3539,0,1397,1583,0,1408,1583,0,,,,,,,,,,,,,,
Allow RTOR,33,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
SatFlowRTOR,33,0,1,0,0,1,0,0,279,0,0,341,0,,,,,,,,,,,,,,
Volume,33,1,642,3,13,750,2,8,0,3,2,0,11,,,,,,,,,,,,,,
Peds,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Bicycles,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
PHF,33,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,
Growth,33,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,
HeavyVehicles,33,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
BusStops,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Midblock,33,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
Distance,33,,1300,,,4114,,,595,,,742,,,,,,,,,,,,,,,
TravelTime,33,,19.7,,,62.3,,,9,,,11.2,,,,,,,,,,,,,,,
Right Channeled,33,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,
Alignment,33,0,0,1,0,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,
Enter Blocked,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
HeadwayFact,33,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
Turning Speed,33,15,60,9,15,60,9,15,60,9,15,60,9,,,,,,,,,,,,,,
FirstDetect,33,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
LastDetect,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase1,33,2,2,,6,6,,8,8,,4,4,,,,,,,,,,,,,,,
DetectPhase2,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase3,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectPhase4,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
SwitchPhase,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
numDetects,33,1,1,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,
DetectPos1,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectSize1,33,20,100,,20,100,,20,100,,20,100,,,,,,,,,,,,,,,
DetectType1,33,3,3,,3,3,,3,3,,3,3,,,,,,,,,,,,,,,
DetectExtend1,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectQueue1,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
DetectDelay1,33,0,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,
Exit Lanes,33,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,
CBD,33,,0,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,33,1,701,0,14,817,0,9,3,0,2,12,0,,,,,,,,,,,,,,
Up Node,38,20,20,20,22,22,22,9,9,9,40,40,40,,,,,,,,,,,,,,
Dest Node,38,9,22,40,40,20,9,22,40,20,20,9,22,,,,,,,,,,,,,,
Lanes,38,1,2,0,1,2,0,1,1,0,1,1,0,,,,,,,,,,,,,,
Shared,38,0,0,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,
Width,38,12,12,12,12,12,12,12,12,12,12,12,12,,,,,,,,,,,,,,
Storage,38,190,,,250,,,,,,,,,,,,,,,,,,,,,,
Taper,38,25,,,25,,,,,,,,,,,,,,,,,,,,,,
StLanes,38,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Grade,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,38,,45,,,45,,,45,,,45,,,,,,,,,,,,,,,
